S. Prödl,97
S. Tasci,81
F. Johnson,74
Bojan,65
M. Fellaini,85
P. Wernbloom,85
A. Ayew,72
D. Ospina,80
W. Reid,87
Lucas Leiva,78
Z. Junuzović,69
C. Ansaldi,76
V. Moses,79
Coke,74
D. Zurutuza,79
D. Valeri,75
José Fonte,81
N. Şahin,73
Gervinho,66
R. Shawcross,76
J. Evans,77
S. Sirigu,80
A. Gyan,77
Y. Cabaye,70
Danilo,76
N. Pareja,74
S. Radu,79
D. Abraham,83
M. Krohn-Dehli,68
Jurado,76
B. Gomis,77
H. Herrera,72
Luisão,91
V. Berezutskiy,87
I. Akinfeev,82
I. Denisov,70
A. Samedov,72
Xabi Prieto,76
Negredo,82
A. Pyatov,84
P. Zabaleta,74
G. Ochoa,78
W. Caballero,80
Vágner Love,72
M. Vorm,84
D. Baier,77
Gomes,91
R. Adler,85
P. Evra,75
S. Sorrentino,85
Joaquín,75
T. Rosický,72
G. Barry,78
E. Belözoğlu,72
A. Lunev,80
André Silva,79
K. Dolberg,82
Yeray,78
C. Pulisic,69
L. Tousart,83
A. Onana,91
V. Koziello,58
N. Radoja,77
V. Rongier,70
O. Al Soma,86
F. Cervi,62
Jorge Meré,80
Jony,77
R. Karsdorp,80
Dani Ceballos,65
H. Lozano,70
Raúl,81
Pau López,77
M. Vecino,81
A. Sanabria,70
R. Battaglia,79
J. Izquierdo,75
T. Bongonda,71
Rúben Semedo,84
Rafa,66
M. Philipp,76
Morales,70
Capa,70
M. Sportiello,87
L. Alario,79
D. Zapata,88
D. Benedetto,75
L. López,82
M. Kranevitter,75
A. Ruiz,77
D. Laxalt,68
D. Origi,75
N. Stark,81
Hernâni,69
Iuri Medeiros,64
Bruno Fernandes,69
R. Gagliardini,77
Pedro Santos,65
Carles Gil,65
Paulo Oliveira,82
A. Szymanowski,69
Bruno Peres,72
K. Wimmer,85
T. Partey,75
Tiago Volpi,89
F. Kostić,82
Andreas Pereira,71
A. Samaris,84
A. Doucouré,69
G. Pizarro,71
J. Martínez,69
M. Ginter,83
